employees,revenue,venture,sbir,state,zip,tech,tech_broad,campus,latitude,longitude,city,state,county,zip,congressional,state_assembly,state_senate
,,"$14,230,000",,CA,94111,Software and Services,Information Technology,UC Berkeley,37.791326,-122.399572,San Francisco,CA,San Francisco County,94111,CA12,Assembly District 17,State Senate District 11
3,"$200,000",,"$1,219,801",CA,94709,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.87886921,-122.2652478,Berkeley,CA,Alameda County,94709,CA13,Assembly District 15,State Senate District 9
6,"$570,000",,,CA,94550,Energy,Energy,UC Berkeley,37.66635177,-121.7606469,Livermore,CA,Alameda County,94550,CA15,Assembly District 16,State Senate District 7
,,,,CA,94709,Software and Services,Information Technology,UC Berkeley,37.88631796,-122.2700953,Berkeley,CA,Alameda County,94709,CA13,Assembly District 15,State Senate District 9
13,"$860,000","$5,249,000","$856,000",CA,94404,Medical Diagnostics,Medical,UC Berkeley,37.56740959,-122.2819025,San Mateo,CA,San Mateo County,94404,CA14,Assembly District 22,State Senate District 13
,,,,CA,94708,Advanced Materials,Advanced Materials,UC Berkeley,37.8897388,-122.2583492,Berkeley,CA,Alameda County,94708,CA13,Assembly District 15,State Senate District 9
5,"$530,000","$7,000,000","$649,847",CA,94502,Energy,Energy,UC Berkeley,37.7256446,-122.2347549,Alameda,CA,Alameda County,94502,CA13,Assembly District 18,State Senate District 9
25,"$84,900,000","$8,000,000",,CA,94404,Software and Services,Information Technology,UC Berkeley,37.5714034,-122.2678241,San Mateo,CA,San Mateo County,94404,CA14,Assembly District 22,State Senate District 13
,,,,CA,94549,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.92799,-122.099589,Lafayette,CA,Contra Costa County,94549,CA11,Assembly District 14,State Senate District 7
70,"$11,200,000","$108,400,000","$998,918",CA,94588,Research Tools,Research Tools,UC Berkeley,37.69350856,-121.9312452,Pleasanton,CA,Alameda County,94588,CA15,Assembly District 16,State Senate District 7
,,"$12,000,000","$599,970",GA,30339,Software and Services,Information Technology,UC Berkeley,33.85394775,-84.507552,Atlanta,GA,Fulton County,30339,GA11,State House District 40,State Senate District 6
,,,,CA,94025,Medical Diagnostics,Medical,UC Berkeley,37.45406467,-122.1631085,Menlo Park,CA,San Mateo County,94025,CA18,Assembly District 24,State Senate District 13
1,"$83,000",,,CA,94618,Software and Services,Information Technology,UC Berkeley,37.840626,-122.227639,Oakland,CA,Alameda County,94618,CA13,Assembly District 15,State Senate District 9
5,"$260,000",,,NV,89451,Agriculture,Agriculture,UC Berkeley,39.253908,-119.935619,Incline Village,NV,Washoe County,89451,NV02,Assembly District 26,State Senate District 16
20,,,,CA,94085,Research Tools,Research Tools,UC Berkeley,37.3939689,-122.0332383,Sunnyvale,CA,Santa Clara County,94085,CA17,Assembly District 24,State Senate District 13
,,,"$100,000",CA,94804,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.91428565,-122.326822,Richmond,CA,Contra Costa County,94804,CA11,Assembly District 15,State Senate District 9
54,"$6,000,000","$55,960,000","$7,185,673",CA,94608,Medical Diagnostics,Medical,UC Berkeley,37.83579902,-122.2899563,Emeryville,CA,Alameda County,94608,CA13,Assembly District 15,State Senate District 9
2,"$150,000",,,CA,94107,Software and Services,Information Technology,UC Berkeley,37.75708747,-122.4024467,San Francisco,CA,San Francisco County,94107,CA12,Assembly District 17,State Senate District 11
,,,,CA,92011,Medical Diagnostics,Medical,UC Berkeley,33.107582,-117.292182,Castle Park,CA,San Diego County,92011,CA49,Assembly District 76,State Senate District 36
,,"$5,000,000",,CA,95131,Medical Therapeutics,Medical,UC Berkeley,37.39991202,-121.8887585,San Jose,CA,Santa Clara County,95131,CA17,Assembly District 25,State Senate District 10
1,"$65,000",,,CA,91502,Electronic Systems and Components,Electronic Systems,UC Berkeley,34.17310141,-118.3162804,Burbank,CA,Los Angeles County,91502,CA28,Assembly District 43,State Senate District 25
10,"$880,000","$1,300,000","$682,918",CA,94710,Research Tools,Research Tools,UC Berkeley,37.86285763,-122.2995621,Berkeley,CA,Alameda County,94710,CA13,Assembly District 15,State Senate District 9
2,"$140,000",,,CA,94560,Research Tools,Research Tools,UC Berkeley,37.534102,-122.025352,Newark,CA,Alameda County,94560,CA17,Assembly District 25,State Senate District 10
,,,,CA,94704,Energy,Energy,UC Berkeley,37.86906776,-122.2565121,Berkeley,CA,Alameda County,94704,CA13,Assembly District 15,State Senate District 9
75,"$8,600,000","$103,159,000","$2,283,647",CA,94545,Agriculture,Agriculture,UC Berkeley,37.62573623,-122.1257709,Hayward,CA,Alameda County,94545,CA15,Assembly District 20,State Senate District 10
3,"$330,000","$3,650,000","$2,678,399",CA,94577,Medical Therapeutics,Medical,UC Berkeley,37.71871372,-122.1608745,San Leandro,CA,Alameda County,94577,CA13,Assembly District 18,State Senate District 9
,,,,N/A,N/A,Software and Services,Information Technology,UC Berkeley,,,,,,,,,
,,,,CA,94704,Research Tools,Research Tools,UC Berkeley,37.86906776,-122.2565121,Berkeley,CA,Alameda County,94704,CA13,Assembly District 15,State Senate District 9
,,,,CA,94105,Research Tools,Research Tools,UC Berkeley,37.78751415,-122.3912534,San Francisco,CA,San Francisco County,94105,CA12,Assembly District 17,State Senate District 11
,,"$18,500,000",,CA,94085,"Communications, Information Technology, and Data Processing",Information Technology,UC Berkeley,37.38390676,-122.0034276,Mountain View,CA,Santa Clara County,94085,CA17,Assembly District 24,State Senate District 13
4,"$520,000","$10,000,000","$1,844,986",PA,15201,Advanced Materials,Advanced Materials,UC Berkeley,40.47315035,-79.96383291,Pittsburgh,PA,Allegheny County,15201,PA14,State House District 20,State Senate District 38
3,"$250,000",,"$1,778,879",CA,94720,Medical Devices,Medical,UC Berkeley,37.873838,-122.254934,Berkeley,CA,Alameda County,94720,CA13,Assembly District 15,State Senate District 9
35,"$4,600,000","$149,100,000","$4,717,119",CA,95035,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.43185508,-121.892838,Milpitas,CA,Santa Clara County,95035,CA17,Assembly District 25,State Senate District 10
5,"$340,000","$6,545,000","$1,521,185",CA,94549,Medical Therapeutics,Medical,UC Berkeley,37.89707742,-122.1575915,Lafayette,CA,Contra Costa County,94549,CA11,Assembly District 16,State Senate District 7
40,"$3,900,000",,"$943,290",CA,94608,Software and Services,Information Technology,UC Berkeley,37.84794137,-122.2885333,Emeryville,CA,Alameda County,94608,CA13,Assembly District 15,State Senate District 9
1,"$69,000",,,FL,32953,Energy,Energy,UC Berkeley,28.388797,-80.730088,Merritt Island,FL,Brevard County,32953,FL08,State House District 51,State Senate District 13
2,"$180,000","$33,550,000","$300,000",CA,94158,Medical Therapeutics,Medical,UC Berkeley,37.768106,-122.386927,San Francisco,CA,San Francisco County,94158,CA12,Assembly District 17,State Senate District 11
10,"$790,000",,"$1,022,376",CA,94704,Medical Diagnostics,Medical,UC Berkeley,37.870045,-122.267992,Berkeley,CA,Alameda County,94704,CA13,Assembly District 15,State Senate District 9
2,"$150,000","$10,858,000","$5,454,061",CA,94070,Medical Therapeutics,Medical,UC Berkeley,37.5199848,-122.2625743,San Carlos,CA,San Mateo County,94070,CA14,Assembly District 22,State Senate District 13
,,,,CA,92614,Medical Diagnostics,Medical,UC Berkeley,33.68591692,-117.8568357,Irvine,CA,Orange County,92614,CA45,Assembly District 74,State Senate District 37
,,"$113,000,000",,CA,94806,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.98424026,-122.332164,San Pablo,CA,Contra Costa County,94806,CA11,Assembly District 15,State Senate District 9
6,"$440,000","$21,341,000",,CA,95054,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.40646759,-121.9843254,Santa Clara,CA,Santa Clara County,95054,CA17,Assembly District 25,State Senate District 10
4,,,"$2,259,441",CA,94025,Medical Therapeutics,Medical,UC Berkeley,37.439616,-122.186373,Menlo Park,CA,San Mateo County,94025,CA18,Assembly District 24,State Senate District 13
,,,,CA,94115,"Communications, Information Technology, and Data Processing",Information Technology,UC Berkeley,37.79092,-122.432561,San Francisco,CA,San Francisco County,94115,CA12,Assembly District 19,State Senate District 11
,,"$2,250,000","$316,467",MD,20850,Electronic Systems and Components,Electronic Systems,UC Berkeley,39.098616,-77.204359,Rockville,MD,Montgomery County,20850,MD06,State Legislative District 15,State Senate District 15
8,"$690,000",,"$11,115,793",CA,94588,Software and Services,Information Technology,UC Berkeley,37.69816121,-121.907167,Pleasanton,CA,Alameda County,94588,CA15,Assembly District 16,State Senate District 7
,,,,CA,94598,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.92797624,-122.0412907,Walnut Creek,CA,Contra Costa County,94598,CA11,Assembly District 16,State Senate District 7
,,,,CA,94043,Medical Therapeutics,Medical,UC Berkeley,37.421865,-122.070895,Mountain View,CA,Santa Clara County,94043,CA18,Assembly District 24,State Senate District 13
9,"$840,000","$15,322,000","$1,911,628",CA,94608,Medical Therapeutics,Medical,UC Berkeley,37.83943697,-122.2891916,Emeryville,CA,Alameda County,94608,CA13,Assembly District 15,State Senate District 9
2,"$160,000",,,CA,94530,Advanced Materials,Advanced Materials,UC Berkeley,37.9299132,-122.3111186,El Cerrito,CA,Contra Costa County,94530,CA11,Assembly District 15,State Senate District 9
1,"$76,000",,,CA,94710,Software and Services,Information Technology,UC Berkeley,37.85817767,-122.2945632,Berkeley,CA,Alameda County,94710,CA13,Assembly District 15,State Senate District 9
,,,,CA,94709,Software and Services,Information Technology,UC Berkeley,37.877445,-122.256191,Berkeley,CA,Alameda County,94709,CA13,Assembly District 15,State Senate District 9
,,,,CA,94304,Software and Services,Information Technology,UC Berkeley,37.41226471,-122.1510775,Palo Alto,CA,Santa Clara County,94304,CA18,Assembly District 24,State Senate District 13
2,"$67,600",,,Avon,UK,Electronic Systems and Components,Electronic Systems,UC Berkeley,,,,,,,,,
5,"$370,000","$900,000","$994,000",CA,94710,Medical Devices,Medical,UC Berkeley,37.85335275,-122.2926619,Berkeley,CA,Alameda County,94710,CA13,Assembly District 15,State Senate District 9
10,"$910,000","$29,258,000",,CA,94085,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.38391327,-122.0045037,Mountain View,CA,Santa Clara County,94085,CA17,Assembly District 24,State Senate District 13
70,"$10,600,000","$103,200,000",,CA,95134,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.42165639,-121.9546393,San Jose,CA,Santa Clara County,95134,CA17,Assembly District 25,State Senate District 10
75,"$8,300,000","$280,425,000",,CA,95161,Advanced Materials,Advanced Materials,UC Berkeley,37.189396,-121.705327,San Jose,CA,Santa Clara County,95161,CA19,Assembly District 29,State Senate District 17
,,,,CA,94305,Software and Services,Information Technology,UC Berkeley,37.41064243,-122.1596545,Stanford,CA,Santa Clara County,94305,CA18,Assembly District 24,State Senate District 13
,,,,CA,94105,Energy,Energy,UC Berkeley,37.787579,-122.399255,San Francisco,CA,San Francisco County,94105,CA12,Assembly District 17,State Senate District 11
6,"$1,300,000",,"$4,716,585",CA,94158,Research Tools,Research Tools,UC Berkeley,37.76573875,-122.3880476,San Francisco,CA,San Francisco County,94107,CA12,Assembly District 17,State Senate District 11
2,"$140,000",,,CA,94710,Research Tools,Research Tools,UC Berkeley,37.87500882,-122.3022791,Berkeley,CA,Alameda County,94710,CA13,Assembly District 15,State Senate District 9
9,"$730,000","$5,586,000",,CA,91407,"Communications, Information Technology, and Data Processing",Information Technology,UC Berkeley,33.786594,-118.298662,Van Nuys,CA,Los Angeles County,91407,CA33,Assembly District 66,State Senate District 35
32,"$7,960,000","$182,300,000","$5,004,323",CA,94080,Medical Therapeutics,Medical,UC Berkeley,37.6626606,-122.3860128,South San Francisco,CA,San Mateo County,94080,CA14,Assembly District 22,State Senate District 13
4,"$100,000",,,CA,94710,Software and Services,Information Technology,UC Berkeley,37.86373024,-122.2975464,Berkeley,CA,Alameda County,94710,CA13,Assembly District 15,State Senate District 9
6,"$890,000",,"$791,761",TX,78747,Research Tools,Research Tools,UC Berkeley,30.14219918,-97.74984745,Austin,TX,Travis County,78747,TX35,State House District 51,State Senate District 21
5,"$450,000",,"$1,259,706",CA,94940,Electronic Systems and Components,Electronic Systems,UC Berkeley,38.17087,-122.823185,Marshall,CA,Marin County,94940,CA02,Assembly District 10,State Senate District 2
10,"$640,000","$50,000",,CA,94708,Software and Services,Information Technology,UC Berkeley,37.89455638,-122.2581308,Berkeley,CA,Alameda County,94708,CA13,Assembly District 15,State Senate District 9
5,"$340,000",,"$99,908",CA,94523,Software and Services,Information Technology,UC Berkeley,37.94573818,-122.0654035,Pleasant Hill,CA,Contra Costa County,94523,CA11,Assembly District 14,State Senate District 3
406,"$30,678,000","$168,000,000","$500,000",CA,94080,Medical Therapeutics,Medical,UC Berkeley,37.657443,-122.423483,South San Francisco,CA,San Mateo County,94080,CA14,Assembly District 22,State Senate District 13
3,"$30,000",,"$150,000",CA,94111,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.79915643,-122.3999597,San Francisco,CA,San Francisco County,94111,CA12,Assembly District 17,State Senate District 11
1,"$110,000",,,CA,94704,Software and Services,Information Technology,UC Berkeley,37.864074,-122.266698,Berkeley,CA,Alameda County,94704,CA13,Assembly District 15,State Senate District 9
2,"$88,000",,"$622,028",CA,94720,Medical Therapeutics,Medical,UC Berkeley,37.873838,-122.254934,Berkeley,CA,Alameda County,94720,CA13,Assembly District 15,State Senate District 9
,,,,CA,94303,Software and Services,Information Technology,UC Berkeley,37.468827,-122.141075,East Palo Alto,CA,San Mateo County,94303,CA14,Assembly District 24,State Senate District 13
,,,,CO,80544,Electronic Systems and Components,Electronic Systems,UC Berkeley,40.10387,-105.17082,Niwot,CO,Boulder County,80544,CO02,State House District 11,State Senate District 18
11,"$980,000","$17,440,504",,CA,94404,Medical Diagnostics,Medical,UC Berkeley,37.56667786,-122.2740772,San Mateo,CA,San Mateo County,94404,CA14,Assembly District 22,State Senate District 13
1,"$90,000",,"$170,000",CA,94611,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.82660767,-122.2521333,Oakland,CA,Alameda County,94611,CA13,Assembly District 15,State Senate District 9
2,"$120,000","$9,500,000",,CO,80301,Research Tools,Research Tools,UC Berkeley,40.02609902,-105.2485819,Boulder,CO,Boulder County,80301,CO02,State House District 10,State Senate District 18
,,"$3,100,000",,CA,94304,Research Tools,Research Tools,UC Berkeley,37.41805084,-122.146281,Palo Alto,CA,Santa Clara County,94304,CA18,Assembly District 24,State Senate District 13
,,"$55,073,000","$200,000",CA,94545,Medical Therapeutics,Medical,UC Davis,37.62369822,-122.1263745,Hayward,CA,Alameda County,94545,CA15,Assembly District 20,State Senate District 10
8,"$200,000",,"$666,000",CA,95616,Electronic Systems and Components,Electronic Systems,UC Davis,38.54465043,-121.739194,Davis,CA,Yolo County,95616,CA03,Assembly District 4,State Senate District 3
,,,,VA,22101,Agriculture,Agriculture,UC Davis,38.93731308,-77.18223179,McLean,VA,Fairfax County,22101,VA10,State House District 34,State Senate District 31
12,"$1,200,000",,,CA,95762,Energy,Energy,UC Davis,38.62389405,-121.0587587,El Dorado Hills,CA,El Dorado County,95762,CA04,Assembly District 6,State Senate District 1
,,,,CA,93085,Medical Therapeutics,Medical,UC Davis,,,,,,,,,
,,,,CA,95616,Medical Therapeutics,Medical,UC Davis,38.54610775,-121.7402366,Davis,CA,Yolo County,95616,CA03,Assembly District 4,State Senate District 3
,,,,CA,95616,Electronic Systems and Components,Electronic Systems,UC Davis,38.55735564,-121.7614199,Davis,CA,Yolo County,95616,CA03,Assembly District 4,State Senate District 3
11,"$1,300,000","$5,000,000",,CA,95035,Transportation,Transportation,UC Davis,37.44636739,-121.9186364,Milpitas,CA,Santa Clara County,95035,CA17,Assembly District 25,State Senate District 10
5,"$260,000",,,CA,95618,Medical Therapeutics,Medical,UC Davis,38.55873763,-121.7228294,El Macero,CA,Yolo County,95618,CA03,Assembly District 4,State Senate District 3
3,"$170,000",,,CA,95618,Research Tools,Research Tools,UC Davis,38.55582443,-121.7022618,El Macero,CA,Yolo County,95618,CA03,Assembly District 4,State Senate District 3
3,"$200,000","$300,000",,CA,95618,"Communications, Information Technology, and Data Processing",Information Technology,UC Davis,38.54431,-121.685904,El Macero,CA,Yolo County,95618,CA03,Assembly District 4,State Senate District 3
1,"$75,000",,,CA,94107,Medical Therapeutics,Medical,UC Davis,37.77966049,-122.3937622,San Francisco,CA,San Francisco County,94107,CA12,Assembly District 17,State Senate District 11
,,,,CA,95616,Medical Therapeutics,Medical,UC Davis,38.55300754,-121.7875309,Davis,CA,Yolo County,95616,CA03,Assembly District 4,State Senate District 3
2,"$100,000",,,CA,95691,Medical Diagnostics,Medical,UC Davis,38.627951,-121.593287,West Sacramento,CA,Yolo County,95691,CA03,Assembly District 4,State Senate District 3
116,"$28,409,000","$97,766,000","$338,914",WA,98052,Environment,Environment,UC Davis,47.68055382,-122.146714,Redmond,WA,King County,98052,WA01,State House District 48,State Senate District 48
6,"$500,000","$11,525,000",,MN,55110,Medical Therapeutics,Medical,UC Davis,45.079965,-93.022317,Saint Paul,MN,Ramsey County,55110,MN04,State House District 38B,State Senate District 38
,,,,N/A,107-0052,Medical Therapeutics,Medical,UC Davis,,,,,,,,,
1,"$110,000",,,CA,95618,Medical Therapeutics,Medical,UC Davis,38.56376124,-121.7070954,El Macero,CA,Yolo County,95618,CA03,Assembly District 4,State Senate District 3
8,"$500,000",,"$697,202",CA,95620,Medical Therapeutics,Medical,UC Davis,38.446539,-121.822506,Dixon,CA,Solano County,95620,CA03,Assembly District 4,State Senate District 3
,,,,CA,95814,Medical Therapeutics,Medical,UC Davis,38.578748,-121.501537,Sacramento,CA,Sacramento County,95814,CA06,Assembly District 7,State Senate District 6
,,,,CA,95819,Energy,Energy,UC Davis,38.57450315,-121.4386824,Sacramento,CA,Sacramento County,95819,CA06,Assembly District 7,State Senate District 6
,,,,WA,98053,Advanced Materials,Advanced Materials,UC Davis,47.64308417,-121.9938933,Redmond,WA,King County,98053,WA01,State House District 45,State Senate District 45
,,,,CA,90230,Medical Diagnostics,Medical,UC Davis,33.98384895,-118.3903946,Culver City,CA,Los Angeles County,90230,CA37,Assembly District 54,State Senate District 30
5,"$360,000","$600,000",,CA,95616,Medical Therapeutics,Medical,UC Davis,38.55896354,-121.7861792,Davis,CA,Yolo County,95616,CA03,Assembly District 4,State Senate District 3
195,"$21,700,000","$127,434,000",,GA,30092,"Communications, Information Technology, and Data Processing",Information Technology,UC Davis,33.966212,-84.217991,Norcross,GA,Gwinnett County,30092,GA07,State House District 95,State Senate District 48
,,,,CA,95762,Software and Services,Information Technology,UC Davis,38.62502933,-121.0592775,El Dorado Hills,CA,El Dorado County,95762,CA04,Assembly District 6,State Senate District 1
